Unnamed: 0,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
69,Streptococcus salivarius; mg|Streptococcus|salivarius|JIM8777|-03,mg|Streptococcus|salivarius|JIM8777|-03,Bacteria; ; ; ; ; ; Streptococcus salivarius,Streptococcus salivarius, mg|Streptococcus|salivarius|JIM8777|-03,PanBac,No,7,0,7,0.4375,0.0,1.75,7,0,1.212407,0.0,1.212407,inf,BFTMS23071405,BFTMS23071417,PanBac_loose
1991,Anaerocolumna jejuensis; AY494606.1.1466,AY494606.1.1466,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Anaerocolumna; Anaerocolumna jejuensis,Anaerocolumna jejuensis, AY494606.1.1466,SSU,No,2339,0,615,146.1875,91.0,157.8476982,286,78,78.974038,7.854834,71.119204,9.05419567109884,BFTMS23071413,BFTMS23071417,SSU_moderate
940,[Clostridium] celerecrescens; X71848.1.1522,X71848.1.1522,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnoclostridium; [Clostridium] celerecrescens,[Clostridium] celerecrescens, X71848.1.1522,SSU,No,2016,1,503,126.0,74.0,134.9063873,276,63,76.212708,6.344289,69.868419,11.0128052174168,BFTMS23071413,BFTMS23071417,SSU_moderate
1674,Clostridium intestinale; AM158323.1.1480,AM158323.1.1480,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium sensu stricto 3; Clostridium intestinale,Clostridium intestinale, AM158323.1.1480,SSU,No,2387,0,605,149.1875,89.5,163.1196774,48,26,22.42992,2.618278,19.811642,7.56666862724279,BFTMS23071414,BFTMS23071417,SSU_moderate
1706,Clostridium cylindrosporum; Y18179.1.1479,Y18179.1.1479,Bacteria; Firmicutes; Clostridia; Clostridiales; Caloramatoraceae; Clostridium; Clostridium cylindrosporum,Clostridium cylindrosporum, Y18179.1.1479,SSU,No,656,0,186,41.0,31.5,46.33645073,24,10,11.21496,1.00703,10.20793,10.136669215415626,BFTMS23071414,BFTMS23071417,SSU_moderate
313,Lactobacillus sp. MSUGMIR-3; JN561696.1.1371,JN561696.1.1371,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus sp. MSUGMIR-3,Lactobacillus sp. MSUGMIR-3, JN561696.1.1371,SSU,No,22515,0,22510,1407.1875,0.0,5627.416722,22510,0,14399.08425,0.0,14399.08425,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
371,Lactobacillus casei; AB008205.1.1561,AB008205.1.1561,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus casei,Lactobacillus casei, AB008205.1.1561,SSU,No,1478,0,1478,92.375,0.0,369.5,1478,0,945.43965,0.0,945.43965,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
2231,Lactobacillus casei; HM188412.1.1475,HM188412.1.1475,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus casei,Lactobacillus casei, HM188412.1.1475,SSU,No,863,0,863,53.9375,0.0,215.75,863,0,552.039525,0.0,552.039525,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
3308,Lactobacillus rhamnosus; AY852248.1.1563,AY852248.1.1563,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus rhamnosus,Lactobacillus rhamnosus, AY852248.1.1563,SSU,No,853,0,852,53.3125,0.0,212.9834794,852,0,545.0031,0.0,545.0031,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
1671,Bacterium; MF817524.1.1458,MF817524.1.1458,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Bacterium,Bacterium, MF817524.1.1458,SSU,No,785,0,785,49.0625,0.0,196.25,785,0,502.144875,0.0,502.144875,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
3162,Lactobacillus rhamnosus; KT899874.1.1481,KT899874.1.1481,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus rhamnosus,Lactobacillus rhamnosus, KT899874.1.1481,SSU,No,483,0,483,30.1875,0.0,120.75,483,0,308.963025,0.0,308.963025,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
2438,Lactobacillus casei; KX774469.1.1413,KX774469.1.1413,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus casei,Lactobacillus casei, KX774469.1.1413,SSU,No,434,0,434,27.125,0.0,108.5,434,0,277.61895,0.0,277.61895,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
2108,Lactobacillus paracasei subsp. tolerans; AB181950.1.1497,AB181950.1.1497,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus paracasei subsp. tolerans,Lactobacillus paracasei subsp. tolerans, AB181950.1.1497,SSU,No,344,0,344,21.5,0.0,86.0,344,0,220.0482,0.0,220.0482,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
4062,Lactobacillus rhamnosus; CP019305.1897150.1898699,CP019305.1897150.1898699,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus rhamnosus,Lactobacillus rhamnosus, CP019305.1897150.1898699,SSU,No,316,0,316,19.75,0.0,79.0,316,0,202.1373,0.0,202.1373,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
693,Lactobacillus sp; MF506843.1.1501,MF506843.1.1501,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus sp,Lactobacillus sp, MF506843.1.1501,SSU,No,269,0,269,16.8125,0.0,67.25,269,0,172.072575,0.0,172.072575,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
365,Lactobacillus paracasei; JN415186.1.1500,JN415186.1.1500,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus paracasei,Lactobacillus paracasei, JN415186.1.1500,SSU,No,250,0,247,15.625,0.0,61.70237705,247,0,157.999725,0.0,157.999725,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
1611,Lactobacillus paracasei; KF060265.1.1514,KF060265.1.1514,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus paracasei,Lactobacillus paracasei, KF060265.1.1514,SSU,No,230,0,230,14.375,0.0,57.5,230,0,147.12525,0.0,147.12525,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
3222,Lactobacillus casei; KF673507.1.1487,KF673507.1.1487,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus casei,Lactobacillus casei, KF673507.1.1487,SSU,No,197,0,197,12.3125,0.0,49.25,197,0,126.015975,0.0,126.015975,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
3255,Lactobacillus sp. 5-1-2; GU451064.1.1450,GU451064.1.1450,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus sp. 5-1-2,Lactobacillus sp. 5-1-2, GU451064.1.1450,SSU,No,191,0,191,11.9375,0.0,47.75,191,0,122.177925,0.0,122.177925,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
2815,Lactobacillus sp. N1-5-2; AB379908.1.1520,AB379908.1.1520,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lactobacillus sp. N1-5-2,Lactobacillus sp. N1-5-2, AB379908.1.1520,SSU,No,177,0,177,11.0625,0.0,44.25,177,0,113.222475,0.0,113.222475,inf,BFTMS23071415,BFTMS23071417,SSU_moderate
424,Cutibacterium avidum; AJ003055.1.1504,AJ003055.1.1504,Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Cutibacterium; Cutibacterium avidum,Cutibacterium avidum, AJ003055.1.1504,SSU,No,33,0,32,2.0625,0.0,7.98722939,32,0,12.092576,0.0,12.092576,inf,BFTMS23071416,BFTMS23071417,SSU_moderate
1080,Raoultella planticola; KP096517.1.1414,KP096517.1.1414,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Raoultella; Raoultella planticola,Raoultella planticola, KP096517.1.1414,SSU,No,202,0,74,12.625,10.0,17.15760279,10,5,3.77893,0.503515,3.275415,6.505099152954728,BFTMS23071416,BFTMS23071417,SSU_moderate
